"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","UnitTests.UnitTests.TestDA.UserRepositoryUnitTests.TestGetUserById","","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","UserRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.UserRepositoryUnitTests","UnitTests.UnitTests.TestDA.UserRepositoryUnitTests.TestGetUserById"
"","8","UnitTests.UnitTests.TestDA.OrderRepositoryUnitTests.TestGetOrderByIdUser","","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","OrderRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.OrderRepositoryUnitTests","UnitTests.UnitTests.TestDA.OrderRepositoryUnitTests.TestGetOrderByIdUser"
"","7","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests.TestUpdateItemOrderFailure","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemOrderService unit tests London Method","ItemOrderServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests.TestUpdateItemOrderFailure"
"","10","UnitTests.UnitTests.TestBL.DestroitMethod.UserServiceUnitTests.TestRegisterSuccessDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","UserService unit tests Destroit Method","UserServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.UserServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.UserServiceUnitTests.TestRegisterSuccessDestroitMethod"
"","411","UnitTests.UnitTests.TestDA.OrderRepositoryUnitTests.TestDeleteOrder","","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","OrderRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.OrderRepositoryUnitTests","UnitTests.UnitTests.TestDA.OrderRepositoryUnitTests.TestDeleteOrder"
"","3","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests.TestDeleteItemOrderFailureDestroitMethod","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemOrderService unit tests Destroit Method","ItemOrderServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemOrderServiceUnitTests.TestDeleteItemOrderFailureDestroitMethod"
"","17","UnitTests.UnitTests.TestBL.LondonMethod.OrderServiceUnitTests.TestAddOrderSuccess","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","OrderService unit tests London Method","OrderServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.OrderServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.OrderServiceUnitTests.TestAddOrderSuccess"
"","43","UnitTests.UnitTests.TestBL.DestroitMethod.CartServiceUnitTests.TestGetCartByIdSuccessDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","CartService unit tests Destroit Method","CartServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.CartServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.CartServiceUnitTests.TestGetCartByIdSuccessDestroitMethod"
"","21","UnitTests.UnitTests.TestBL.DestroitMethod.ItemCartServiceUnitTests.TestUpdateItemCartFailureDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ItemCartService unit tests Destroit Method","ItemCartServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemCartServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemCartServiceUnitTests.TestUpdateItemCartFailureDestroitMethod"
"","8","UnitTests.UnitTests.TestBL.DestroitMethod.ItemCartServiceUnitTests.TestGetItemCartByIdSuccessDestroitMethod","Services Unit tests","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ItemCartService unit tests Destroit Method","ItemCartServices Unit tests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemCartServiceUnitTests","UnitTests.UnitTests.TestBL.DestroitMethod.ItemCartServiceUnitTests.TestGetItemCartByIdSuccessDestroitMethod"
